application_id,company,role_title,location,date_applied,source,resume_id,salary_min,salary_max,status,response_date,interview_date,response_time_days
APP0141,Crestline Insurance,BI Analyst,"Indianapolis, IN",2026-05-27,Company Website,2,52000,75000,Applied,,,
APP0142,Bright Path Media,Data Analyst Intern,"Tampa, FL",2026-05-13,LinkedIn,3,65000,68000,Applied,,,
APP0143,Cascade Retail Co,Data Analyst,"Chicago, IL",2026-02-05,ZipRecruiter,2,55000,78000,Applied,,,
APP0144,Clearwater Media,Data Analyst,"Dallas, TX",2026-08-05,ZipRecruiter,2,58000,75000,Rejected,2026-08-09,,4
APP0145,Union Square Bank,Junior Data Analyst,"Tampa, FL",2026-03-06,Company Website,3,,,No Response,,,
APP0146,Amber Logistics,Junior Data Analyst,"Phoenix, AZ",2026-07-07,Referral,1,68000,72000,Rejected,2026-07-28,,21
APP0147,Fieldstone Consulting,Data Analyst Intern,"Minneapolis, MN",2026-04-12,Indeed,1,58000,82000,Rejected,2026-05-02,,20
APP0148,Anchor Insurance Services,Data Analyst,"Minneapolis, MN",2026-06-07,Handshake,1,58000,78000,No Response,,,
APP0149,Vantage Point Capital,Marketing Data Analyst,"Minneapolis, MN",2026-07-01,LinkedIn,1,,,Applied,,,
APP0150,Skyline Retailers,Junior Data Analyst,"Indianapolis, IN",2026-07-08,Referral,3,,,Applied,,,
APP0151,Fieldstone Consulting,Reporting Analyst,Remote,2026-05-23,Indeed,1,48000,70000,Applied,,,
APP0152,Solstice Software,BI Analyst,Remote,2026-04-27,LinkedIn,1,,,Rejected,2026-05-16,,19
APP0153,Rivergate Bank,Reporting Analyst,Remote,2026-02-12,Referral,1,,,Interview,2026-02-24,2026-02-21,12
APP0154,Beacon Hill Hospital,Data Analyst,"Dallas, TX",2026-04-14,LinkedIn,2,,,Rejected,2026-04-29,,15
APP0155,Greenfield Foods,Operations Data Analyst,"Minneapolis, MN",2026-03-11,Handshake,1,58000,65000,Applied,,,
APP0156,Beacon Hill Hospital,Reporting Analyst,"Dallas, TX",2026-03-09,Company Website,1,52000,58000,Rejected,2026-03-26,,17
APP0157,Crestline Insurance,Data Analyst,"Dallas, TX",2026-04-02,ZipRecruiter,1,62000,75000,No Response,,,
APP0158,Clearwater Media,Marketing Data Analyst,"Charlotte, NC",2026-03-03,Glassdoor,2,58000,78000,No Response,,,
APP0159,Cobalt Analytics Inc,Business Analyst,"Chicago, IL",2026-05-03,ZipRecruiter,1,48000,70000,No Response,,,
APP0160,Solstice Software,Junior Data Analyst,Remote,2026-03-06,LinkedIn,1,65000,72000,Applied,,,
APP0161,Copper Ridge Insurance,Business Analyst,"Chicago, IL",2026-03-04,Handshake,2,,,Applied,,,
APP0162,Copper Ridge Insurance,Business Analyst,Remote,2026-07-08,Referral,3,60000,78000,No Response,,,
APP0163,Trailhead Logistics,Data Analyst,"Dallas, TX",2026-05-03,Handshake,3,68000,72000,No Response,,,
APP0164,Vertex Capital Partners,Operations Data Analyst,"Atlanta, GA",2026-04-01,Handshake,3,52000,68000,Offer,2026-04-10,2026-04-13,9
APP0165,Elm Street Foods,Operations Data Analyst,"Denver, CO",2026-02-10,Indeed,2,,,Applied,,,
APP0166,Amber Logistics,Junior Data Analyst,"Tampa, FL",2026-02-19,Referral,2,62000,65000,No Response,,,
APP0167,Marlin Energy,Business Analyst,"Dallas, TX",2026-07-27,Glassdoor,3,55000,58000,No Response,,,
APP0168,Amber Logistics,Data Analyst Intern,Remote,2026-04-30,LinkedIn,1,55000,62000,Offer,2026-05-21,2026-05-19,21
APP0169,Elm Street Foods,Junior Business Intelligence Analyst,"Atlanta, GA",2026-02-26,Referral,2,58000,65000,Rejected,2026-02-28,,2
APP0170,Summit Consulting Partners,Operations Data Analyst,"Chicago, IL",2026-07-08,Glassdoor,3,48000,75000,Interview,2026-07-14,2026-07-18,6
APP0171,Skyline Retailers,Data Analyst I,"Phoenix, AZ",2026-03-12,Handshake,2,,,Applied,,,
APP0172,Skyline Retailers,Marketing Data Analyst,"Charlotte, NC",2026-02-24,ZipRecruiter,2,65000,65000,Rejected,2026-03-09,,13
APP0173,Ironclad Manufacturing,Junior Data Analyst,"Indianapolis, IN",2026-05-17,Glassdoor,3,,,Offer,2026-05-30,2026-06-08,13
APP0174,Greenfield Foods,Business Analyst,Remote,2026-07-25,Company Website,1,55000,70000,No Response,,,
APP0175,Cypress Analytics,Data Analyst I,"Phoenix, AZ",2026-03-01,Handshake,2,55000,62000,No Response,,,
APP0176,Meridian Data Co,Junior Business Intelligence Analyst,"Austin, TX",2026-07-25,Referral,3,48000,75000,Rejected,2026-08-05,,11
APP0177,Elm Street Foods,Junior Data Analyst,"Tampa, FL",2026-04-18,Indeed,1,68000,72000,Offer,2026-05-02,2026-04-29,14
APP0178,Greenfield Foods,Data Analyst,"Columbus, OH",2026-02-13,LinkedIn,2,58000,70000,Interview,2026-02-28,2026-03-10,15
APP0179,Crestline Insurance,Reporting Analyst,"Tampa, FL",2026-03-30,Indeed,3,60000,75000,Rejected,2026-03-31,,1
APP0180,Meridian Data Co,Junior Business Intelligence Analyst,"Dallas, TX",2026-05-29,Handshake,2,68000,70000,No Response,,,
APP0181,Ironclad Manufacturing,Marketing Data Analyst,"Chicago, IL",2026-07-14,Glassdoor,2,60000,70000,No Response,,,
APP0182,Beacon Financial Group,Marketing Data Analyst,"Denver, CO",2026-05-15,Glassdoor,2,48000,68000,No Response,,,
APP0183,Foundry Manufacturing,Business Analyst,"Denver, CO",2026-03-05,LinkedIn,2,65000,70000,Rejected,2026-03-16,,11
APP0184,Marlin Energy,BI Analyst,"Charlotte, NC",2026-06-01,Handshake,1,52000,78000,Applied,,,
APP0185,Crestline Insurance,Marketing Data Analyst,"Austin, TX",2026-03-19,Glassdoor,3,68000,72000,Rejected,2026-03-25,,6
