Application ID,Company,Skill,Status
APP0023,Quartz Data Solutions,ETL,Rejected
APP0023,Quartz Data Solutions,Power Query,Rejected
APP0023,Quartz Data Solutions,R,Rejected
APP0024,Harbor Health Systems,Tableau,No Response
APP0024,Harbor Health Systems,Azure,No Response
APP0024,Harbor Health Systems,Communication,No Response
APP0024,Harbor Health Systems,Excel,No Response
APP0024,Harbor Health Systems,ETL,No Response
APP0025,Beacon Hill Hospital,Statistics,No Response
APP0025,Beacon Hill Hospital,ETL,No Response
APP0025,Beacon Hill Hospital,Machine Learning,No Response
APP0025,Beacon Hill Hospital,AWS,No Response
APP0025,Beacon Hill Hospital,Business Intelligence,No Response
APP0025,Beacon Hill Hospital,Google Sheets,No Response
APP0025,Beacon Hill Hospital,A/B Testing,No Response
APP0025,Beacon Hill Hospital,Looker,No Response
APP0026,Pioneer Energy Corp,Statistics,Rejected
APP0026,Pioneer Energy Corp,Git,Rejected
APP0026,Pioneer Energy Corp,Looker,Rejected
APP0026,Pioneer Energy Corp,Python,Rejected
APP0026,Pioneer Energy Corp,Tableau,Rejected
APP0026,Pioneer Energy Corp,Business Intelligence,Rejected
APP0027,Summit Consulting Partners,Communication,No Response
APP0027,Summit Consulting Partners,Excel,No Response
APP0027,Summit Consulting Partners,ETL,No Response
APP0027,Summit Consulting Partners,Snowflake,No Response
APP0027,Summit Consulting Partners,Data Cleaning,No Response
APP0027,Summit Consulting Partners,VBA,No Response
APP0027,Summit Consulting Partners,Data Modeling,No Response
APP0027,Summit Consulting Partners,Data Visualization,No Response
APP0028,Trailhead Logistics,Business Intelligence,No Response
APP0028,Trailhead Logistics,PivotTables,No Response
APP0028,Trailhead Logistics,Machine Learning,No Response
APP0028,Trailhead Logistics,Tableau,No Response
APP0028,Trailhead Logistics,AWS,No Response
APP0028,Trailhead Logistics,Looker,No Response
APP0028,Trailhead Logistics,Excel,No Response
APP0029,Fieldstone Consulting,ETL,No Response
APP0029,Fieldstone Consulting,Data Cleaning,No Response
APP0029,Fieldstone Consulting,Pandas,No Response
APP0029,Fieldstone Consulting,Git,No Response
APP0029,Fieldstone Consulting,A/B Testing,No Response
APP0029,Fieldstone Consulting,Forecasting,No Response
APP0030,Willow Creek Health,Tableau,Rejected
APP0030,Willow Creek Health,VBA,Rejected
APP0030,Willow Creek Health,R,Rejected
APP0030,Willow Creek Health,Power BI,Rejected
APP0030,Willow Creek Health,Snowflake,Rejected
APP0031,Clearwater Media,R,Rejected
APP0031,Clearwater Media,Data Cleaning,Rejected
APP0031,Clearwater Media,Data Modeling,Rejected
APP0031,Clearwater Media,Communication,Rejected
APP0031,Clearwater Media,DAX,Rejected
APP0031,Clearwater Media,Python,Rejected
APP0031,Clearwater Media,Snowflake,Rejected
APP0031,Clearwater Media,Azure,Rejected
APP0032,Stonebridge Consulting,Excel,No Response
APP0032,Stonebridge Consulting,A/B Testing,No Response
APP0032,Stonebridge Consulting,VBA,No Response
APP0032,Stonebridge Consulting,Power BI,No Response
APP0032,Stonebridge Consulting,Data Modeling,No Response
APP0032,Stonebridge Consulting,Data Visualization,No Response
APP0033,Fieldstone Consulting,Git,Rejected
APP0033,Fieldstone Consulting,Power Query,Rejected
APP0033,Fieldstone Consulting,Python,Rejected
APP0033,Fieldstone Consulting,Pandas,Rejected
APP0033,Fieldstone Consulting,Machine Learning,Rejected
APP0033,Fieldstone Consulting,Data Modeling,Rejected
APP0034,Elm Street Foods,DAX,Rejected
APP0034,Elm Street Foods,Python,Rejected
APP0034,Elm Street Foods,Power Query,Rejected
APP0034,Elm Street Foods,Business Intelligence,Rejected
APP0034,Elm Street Foods,A/B Testing,Rejected
APP0034,Elm Street Foods,VBA,Rejected
APP0034,Elm Street Foods,Looker,Rejected
APP0034,Elm Street Foods,Forecasting,Rejected
APP0035,Beacon Financial Group,A/B Testing,No Response
APP0035,Beacon Financial Group,Business Intelligence,No Response
APP0035,Beacon Financial Group,Looker,No Response
APP0035,Beacon Financial Group,Statistics,No Response
APP0035,Beacon Financial Group,Data Visualization,No Response
APP0035,Beacon Financial Group,Communication,No Response
APP0036,Greenfield Foods,ETL,Rejected
APP0036,Greenfield Foods,Google Sheets,Rejected
APP0036,Greenfield Foods,AWS,Rejected
APP0036,Greenfield Foods,NumPy,Rejected
APP0036,Greenfield Foods,Power BI,Rejected
APP0036,Greenfield Foods,DAX,Rejected
APP0036,Greenfield Foods,Git,Rejected
APP0036,Greenfield Foods,Power Query,Rejected
APP0037,Solstice Software,VBA,Rejected
APP0037,Solstice Software,Machine Learning,Rejected
APP0037,Solstice Software,Statistics,Rejected
APP0037,Solstice Software,PivotTables,Rejected
APP0037,Solstice Software,SQL,Rejected
APP0037,Solstice Software,Pandas,Rejected
APP0037,Solstice Software,Git,Rejected
APP0038,Crestline Insurance,AWS,Applied
APP0038,Crestline Insurance,Git,Applied
APP0038,Crestline Insurance,Forecasting,Applied
APP0038,Crestline Insurance,Data Modeling,Applied
APP0038,Crestline Insurance,Power Query,Applied
APP0038,Crestline Insurance,Google Sheets,Applied
APP0038,Crestline Insurance,Data Cleaning,Applied
APP0039,Fieldstone Consulting,Machine Learning,Offer
APP0039,Fieldstone Consulting,Communication,Offer
APP0039,Fieldstone Consulting,AWS,Offer
APP0039,Fieldstone Consulting,VBA,Offer
APP0039,Fieldstone Consulting,NumPy,Offer
APP0039,Fieldstone Consulting,SQL,Offer
APP0039,Fieldstone Consulting,Power Query,Offer
APP0040,Sterling Healthcare Group,Data Modeling,Rejected
APP0040,Sterling Healthcare Group,Tableau,Rejected
APP0040,Sterling Healthcare Group,Python,Rejected
APP0040,Sterling Healthcare Group,SQL,Rejected
APP0040,Sterling Healthcare Group,PivotTables,Rejected
APP0040,Sterling Healthcare Group,NumPy,Rejected
APP0041,Bright Path Media,Business Intelligence,No Response
APP0041,Bright Path Media,Statistics,No Response
APP0041,Bright Path Media,AWS,No Response
APP0041,Bright Path Media,Pandas,No Response
APP0041,Bright Path Media,Excel,No Response
APP0041,Bright Path Media,Python,No Response
APP0041,Bright Path Media,Power Query,No Response
APP0042,Meridian Data Co,A/B Testing,No Response
APP0042,Meridian Data Co,Azure,No Response
APP0042,Meridian Data Co,VBA,No Response
APP0042,Meridian Data Co,Python,No Response
APP0042,Meridian Data Co,Forecasting,No Response
APP0042,Meridian Data Co,Data Visualization,No Response
APP0042,Meridian Data Co,Git,No Response
APP0042,Meridian Data Co,Statistics,No Response
APP0043,Elm Street Foods,Git,No Response
APP0043,Elm Street Foods,Google Sheets,No Response
APP0043,Elm Street Foods,Excel,No Response
APP0043,Elm Street Foods,R,No Response
APP0043,Elm Street Foods,Looker,No Response
APP0043,Elm Street Foods,Machine Learning,No Response
APP0043,Elm Street Foods,A/B Testing,No Response
APP0044,Elm Street Foods,Power BI,No Response
APP0044,Elm Street Foods,Excel,No Response
APP0044,Elm Street Foods,Azure,No Response
APP0044,Elm Street Foods,AWS,No Response
APP0044,Elm Street Foods,Power Query,No Response
APP0044,Elm Street Foods,Communication,No Response
APP0044,Elm Street Foods,PivotTables,No Response
APP0045,Rivergate Bank,Business Intelligence,Interview
APP0045,Rivergate Bank,Tableau,Interview
APP0045,Rivergate Bank,Python,Interview
APP0045,Rivergate Bank,Pandas,Interview
APP0045,Rivergate Bank,A/B Testing,Interview
APP0045,Rivergate Bank,Statistics,Interview
APP0045,Rivergate Bank,Google Sheets,Interview
APP0045,Rivergate Bank,ETL,Interview
APP0046,Marlin Energy,Machine Learning,No Response
APP0046,Marlin Energy,Statistics,No Response
APP0046,Marlin Energy,DAX,No Response
APP0046,Marlin Energy,Communication,No Response
APP0046,Marlin Energy,Power Query,No Response
APP0046,Marlin Energy,Snowflake,No Response
APP0046,Marlin Energy,Data Cleaning,No Response
APP0047,Vertex Capital Partners,Statistics,No Response
APP0047,Vertex Capital Partners,Power BI,No Response
APP0047,Vertex Capital Partners,Machine Learning,No Response
APP0047,Vertex Capital Partners,Data Modeling,No Response
APP0047,Vertex Capital Partners,Google Sheets,No Response
APP0047,Vertex Capital Partners,Forecasting,No Response
APP0047,Vertex Capital Partners,Excel,No Response
APP0047,Vertex Capital Partners,Tableau,No Response
APP0048,Lighthouse Retail Group,Azure,Applied
APP0048,Lighthouse Retail Group,Communication,Applied
APP0048,Lighthouse Retail Group,ETL,Applied
APP0048,Lighthouse Retail Group,VBA,Applied
APP0048,Lighthouse Retail Group,Looker,Applied
APP0048,Lighthouse Retail Group,SQL,Applied
APP0049,Bluepeak Insurance,Google Sheets,Interview
APP0049,Bluepeak Insurance,A/B Testing,Interview
APP0049,Bluepeak Insurance,Snowflake,Interview
APP0049,Bluepeak Insurance,R,Interview
APP0049,Bluepeak Insurance,Forecasting,Interview
APP0050,Granite Manufacturing,Forecasting,Applied
APP0050,Granite Manufacturing,Machine Learning,Applied
APP0050,Granite Manufacturing,NumPy,Applied
APP0050,Granite Manufacturing,R,Applied
APP0051,Marlin Energy,Power BI,No Response
APP0051,Marlin Energy,Power Query,No Response
APP0051,Marlin Energy,Data Cleaning,No Response
APP0051,Marlin Energy,Snowflake,No Response
APP0051,Marlin Energy,Data Visualization,No Response
APP0051,Marlin Energy,ETL,No Response
APP0051,Marlin Energy,NumPy,No Response
APP0052,Crestline Insurance,Azure,Rejected
APP0052,Crestline Insurance,Power BI,Rejected
APP0052,Crestline Insurance,SQL,Rejected
APP0052,Crestline Insurance,NumPy,Rejected
APP0052,Crestline Insurance,Forecasting,Rejected
APP0053,Bluepeak Insurance,Data Modeling,Applied
APP0053,Bluepeak Insurance,PivotTables,Applied
APP0053,Bluepeak Insurance,Pandas,Applied
APP0053,Bluepeak Insurance,VBA,Applied
APP0053,Bluepeak Insurance,NumPy,Applied
APP0053,Bluepeak Insurance,Statistics,Applied
APP0054,Sterling Healthcare Group,Machine Learning,Applied
APP0054,Sterling Healthcare Group,Data Visualization,Applied
APP0054,Sterling Healthcare Group,R,Applied
APP0054,Sterling Healthcare Group,Business Intelligence,Applied
APP0055,Horizon Freight,Communication,Rejected
APP0055,Horizon Freight,NumPy,Rejected
APP0055,Horizon Freight,Azure,Rejected
APP0055,Horizon Freight,A/B Testing,Rejected
APP0055,Horizon Freight,Power BI,Rejected
APP0055,Horizon Freight,Tableau,Rejected
APP0055,Horizon Freight,SQL,Rejected
APP0056,Pioneer Energy Corp,Data Modeling,Rejected
APP0056,Pioneer Energy Corp,VBA,Rejected
APP0056,Pioneer Energy Corp,AWS,Rejected
APP0056,Pioneer Energy Corp,A/B Testing,Rejected
APP0057,Copper Ridge Insurance,Power BI,No Response
APP0057,Copper Ridge Insurance,Git,No Response
APP0057,Copper Ridge Insurance,Data Modeling,No Response
APP0057,Copper Ridge Insurance,Machine Learning,No Response
APP0057,Copper Ridge Insurance,Python,No Response
APP0058,Union Square Bank,Statistics,Applied
APP0058,Union Square Bank,ETL,Applied
APP0058,Union Square Bank,Tableau,Applied
APP0058,Union Square Bank,Forecasting,Applied
APP0058,Union Square Bank,AWS,Applied
APP0059,Trailhead Logistics,Business Intelligence,Interview
APP0059,Trailhead Logistics,Python,Interview
APP0059,Trailhead Logistics,VBA,Interview
APP0059,Trailhead Logistics,Machine Learning,Interview
APP0060,Sterling Healthcare Group,A/B Testing,No Response
APP0060,Sterling Healthcare Group,R,No Response
APP0060,Sterling Healthcare Group,Power BI,No Response
APP0060,Sterling Healthcare Group,VBA,No Response
APP0060,Sterling Healthcare Group,Communication,No Response
APP0060,Sterling Healthcare Group,Machine Learning,No Response
APP0060,Sterling Healthcare Group,Python,No Response
APP0061,Meridian Data Co,A/B Testing,No Response
APP0061,Meridian Data Co,Power BI,No Response
APP0061,Meridian Data Co,Forecasting,No Response
APP0061,Meridian Data Co,Communication,No Response
APP0061,Meridian Data Co,Data Modeling,No Response
APP0061,Meridian Data Co,Azure,No Response
APP0061,Meridian Data Co,ETL,No Response
APP0061,Meridian Data Co,Looker,No Response
APP0062,Sterling Healthcare Group,Data Visualization,No Response
APP0062,Sterling Healthcare Group,Tableau,No Response
APP0062,Sterling Healthcare Group,R,No Response
APP0062,Sterling Healthcare Group,VBA,No Response
APP0062,Sterling Healthcare Group,Python,No Response
APP0062,Sterling Healthcare Group,Business Intelligence,No Response
APP0063,Horizon Freight,AWS,Rejected
APP0063,Horizon Freight,NumPy,Rejected
APP0063,Horizon Freight,Data Visualization,Rejected
APP0063,Horizon Freight,Power BI,Rejected
APP0063,Horizon Freight,Snowflake,Rejected
APP0063,Horizon Freight,Google Sheets,Rejected
APP0064,Ironclad Manufacturing,R,Rejected
APP0064,Ironclad Manufacturing,Data Modeling,Rejected
APP0064,Ironclad Manufacturing,Communication,Rejected
APP0064,Ironclad Manufacturing,Pandas,Rejected
APP0064,Ironclad Manufacturing,Excel,Rejected
APP0064,Ironclad Manufacturing,PivotTables,Rejected
APP0064,Ironclad Manufacturing,ETL,Rejected
APP0064,Ironclad Manufacturing,NumPy,Rejected
APP0065,Crestline Insurance,Tableau,Offer
APP0065,Crestline Insurance,PivotTables,Offer
APP0065,Crestline Insurance,ETL,Offer
APP0065,Crestline Insurance,AWS,Offer
APP0066,Fieldstone Consulting,NumPy,Applied
APP0066,Fieldstone Consulting,R,Applied
APP0066,Fieldstone Consulting,Snowflake,Applied
APP0066,Fieldstone Consulting,VBA,Applied
APP0067,Stonebridge Consulting,PivotTables,Rejected
APP0067,Stonebridge Consulting,Tableau,Rejected
APP0067,Stonebridge Consulting,Data Cleaning,Rejected
APP0067,Stonebridge Consulting,Looker,Rejected
APP0067,Stonebridge Consulting,Communication,Rejected
APP0067,Stonebridge Consulting,Power Query,Rejected
APP0067,Stonebridge Consulting,Google Sheets,Rejected
APP0068,Harbor Health Systems,PivotTables,Rejected
APP0068,Harbor Health Systems,Forecasting,Rejected
APP0068,Harbor Health Systems,AWS,Rejected
APP0068,Harbor Health Systems,Machine Learning,Rejected
APP0068,Harbor Health Systems,Communication,Rejected
APP0068,Harbor Health Systems,Data Visualization,Rejected
APP0069,Marlin Energy,Google Sheets,Rejected
APP0069,Marlin Energy,DAX,Rejected
APP0069,Marlin Energy,ETL,Rejected
APP0069,Marlin Energy,Data Visualization,Rejected
APP0069,Marlin Energy,Forecasting,Rejected
APP0069,Marlin Energy,Azure,Rejected
APP0069,Marlin Energy,Tableau,Rejected
APP0069,Marlin Energy,Power Query,Rejected
APP0070,Amber Logistics,Tableau,No Response
APP0070,Amber Logistics,Machine Learning,No Response
APP0070,Amber Logistics,Python,No Response
APP0070,Amber Logistics,VBA,No Response
APP0070,Amber Logistics,Data Modeling,No Response
APP0070,Amber Logistics,Azure,No Response
APP0071,Summit Consulting Partners,AWS,No Response
APP0071,Summit Consulting Partners,Google Sheets,No Response
APP0071,Summit Consulting Partners,Data Cleaning,No Response
APP0071,Summit Consulting Partners,Machine Learning,No Response
APP0072,Crestline Insurance,Communication,Applied
APP0072,Crestline Insurance,Python,Applied
APP0072,Crestline Insurance,Google Sheets,Applied
APP0072,Crestline Insurance,Azure,Applied
APP0072,Crestline Insurance,PivotTables,Applied
APP0072,Crestline Insurance,SQL,Applied
APP0073,Cypress Analytics,Python,No Response
APP0073,Cypress Analytics,Statistics,No Response
APP0073,Cypress Analytics,Power BI,No Response
APP0073,Cypress Analytics,Looker,No Response
APP0073,Cypress Analytics,R,No Response
APP0073,Cypress Analytics,Data Cleaning,No Response
APP0074,Marlin Energy,R,Rejected
APP0074,Marlin Energy,Communication,Rejected
APP0074,Marlin Energy,Data Modeling,Rejected
APP0074,Marlin Energy,Business Intelligence,Rejected
APP0074,Marlin Energy,Google Sheets,Rejected
APP0075,Beacon Financial Group,ETL,Interview
APP0075,Beacon Financial Group,AWS,Interview
APP0075,Beacon Financial Group,Tableau,Interview
APP0075,Beacon Financial Group,Data Modeling,Interview
APP0075,Beacon Financial Group,Data Cleaning,Interview
APP0075,Beacon Financial Group,Forecasting,Interview
APP0076,Harbor Health Systems,Data Modeling,Offer
APP0076,Harbor Health Systems,DAX,Offer
APP0076,Harbor Health Systems,Forecasting,Offer
APP0076,Harbor Health Systems,AWS,Offer
APP0076,Harbor Health Systems,Tableau,Offer
APP0077,Foundry Manufacturing,Tableau,No Response
APP0077,Foundry Manufacturing,Data Modeling,No Response
APP0077,Foundry Manufacturing,A/B Testing,No Response
APP0077,Foundry Manufacturing,Python,No Response
APP0077,Foundry Manufacturing,Power Query,No Response
APP0077,Foundry Manufacturing,Machine Learning,No Response
APP0077,Foundry Manufacturing,Data Visualization,No Response
APP0077,Foundry Manufacturing,Excel,No Response
APP0078,Bluepeak Insurance,Data Modeling,Interview
APP0078,Bluepeak Insurance,Tableau,Interview
APP0078,Bluepeak Insurance,Looker,Interview
APP0078,Bluepeak Insurance,Business Intelligence,Interview
APP0078,Bluepeak Insurance,AWS,Interview
APP0079,Rivergate Bank,Azure,No Response
APP0079,Rivergate Bank,Google Sheets,No Response
APP0079,Rivergate Bank,Snowflake,No Response
APP0079,Rivergate Bank,Power Query,No Response
APP0080,Willow Creek Health,Git,Rejected
APP0080,Willow Creek Health,VBA,Rejected
APP0080,Willow Creek Health,SQL,Rejected
APP0080,Willow Creek Health,Azure,Rejected
APP0080,Willow Creek Health,Data Cleaning,Rejected
APP0080,Willow Creek Health,Data Visualization,Rejected
APP0080,Willow Creek Health,Pandas,Rejected
APP0081,Ironclad Manufacturing,Data Modeling,Applied
APP0081,Ironclad Manufacturing,ETL,Applied
APP0081,Ironclad Manufacturing,R,Applied
APP0081,Ironclad Manufacturing,Machine Learning,Applied
APP0081,Ironclad Manufacturing,Communication,Applied
APP0082,Bright Path Media,Forecasting,Interview
APP0082,Bright Path Media,Data Visualization,Interview
APP0082,Bright Path Media,A/B Testing,Interview
APP0082,Bright Path Media,Data Cleaning,Interview
APP0083,Vantage Point Capital,Data Modeling,No Response
APP0083,Vantage Point Capital,PivotTables,No Response
APP0083,Vantage Point Capital,Looker,No Response
APP0083,Vantage Point Capital,NumPy,No Response
APP0083,Vantage Point Capital,Statistics,No Response
APP0083,Vantage Point Capital,Power BI,No Response
APP0083,Vantage Point Capital,Python,No Response
APP0083,Vantage Point Capital,Business Intelligence,No Response
APP0084,Fieldstone Consulting,Python,Applied
APP0084,Fieldstone Consulting,R,Applied
APP0084,Fieldstone Consulting,Azure,Applied
APP0084,Fieldstone Consulting,Data Cleaning,Applied
APP0085,Amber Logistics,SQL,Applied
APP0085,Amber Logistics,AWS,Applied
APP0085,Amber Logistics,Tableau,Applied
APP0085,Amber Logistics,R,Applied
APP0085,Amber Logistics,Machine Learning,Applied
APP0085,Amber Logistics,Data Visualization,Applied
APP0085,Amber Logistics,Communication,Applied
APP0085,Amber Logistics,Business Intelligence,Applied
APP0086,Meridian Data Co,Communication,No Response
APP0086,Meridian Data Co,Machine Learning,No Response
APP0086,Meridian Data Co,DAX,No Response
APP0086,Meridian Data Co,AWS,No Response
APP0086,Meridian Data Co,NumPy,No Response
APP0086,Meridian Data Co,Git,No Response
APP0087,Copper Ridge Insurance,Excel,Offer
APP0087,Copper Ridge Insurance,Data Visualization,Offer
APP0087,Copper Ridge Insurance,Looker,Offer
APP0087,Copper Ridge Insurance,Snowflake,Offer
APP0087,Copper Ridge Insurance,Data Modeling,Offer
APP0087,Copper Ridge Insurance,Machine Learning,Offer
APP0087,Copper Ridge Insurance,Forecasting,Offer
APP0088,Skyline Retailers,Data Visualization,Applied
APP0088,Skyline Retailers,Tableau,Applied
APP0088,Skyline Retailers,ETL,Applied
APP0088,Skyline Retailers,Looker,Applied
APP0088,Skyline Retailers,Azure,Applied
APP0088,Skyline Retailers,Snowflake,Applied
APP0088,Skyline Retailers,PivotTables,Applied
APP0088,Skyline Retailers,Data Modeling,Applied
APP0089,Beacon Hill Hospital,AWS,Interview
APP0089,Beacon Hill Hospital,Looker,Interview
APP0089,Beacon Hill Hospital,Python,Interview
APP0089,Beacon Hill Hospital,Google Sheets,Interview
APP0089,Beacon Hill Hospital,Azure,Interview
APP0089,Beacon Hill Hospital,PivotTables,Interview
APP0090,Cypress Analytics,ETL,Rejected
APP0090,Cypress Analytics,Snowflake,Rejected
APP0090,Cypress Analytics,A/B Testing,Rejected
APP0090,Cypress Analytics,AWS,Rejected
APP0090,Cypress Analytics,Azure,Rejected
APP0091,Redwood Consulting,VBA,No Response
APP0091,Redwood Consulting,Machine Learning,No Response
APP0091,Redwood Consulting,DAX,No Response
APP0091,Redwood Consulting,Statistics,No Response
APP0091,Redwood Consulting,AWS,No Response
APP0091,Redwood Consulting,Tableau,No Response
APP0091,Redwood Consulting,ETL,No Response
APP0092,Solstice Software,Power BI,No Response
APP0092,Solstice Software,SQL,No Response
APP0092,Solstice Software,NumPy,No Response
APP0092,Solstice Software,Data Cleaning,No Response
APP0092,Solstice Software,Git,No Response
APP0093,Crestline Insurance,VBA,Offer
APP0093,Crestline Insurance,AWS,Offer
APP0093,Crestline Insurance,Azure,Offer
APP0093,Crestline Insurance,R,Offer
APP0093,Crestline Insurance,Git,Offer
APP0093,Crestline Insurance,NumPy,Offer
APP0094,Lighthouse Retail Group,Python,No Response
APP0094,Lighthouse Retail Group,Data Cleaning,No Response
APP0094,Lighthouse Retail Group,Google Sheets,No Response
APP0094,Lighthouse Retail Group,Machine Learning,No Response
APP0094,Lighthouse Retail Group,Looker,No Response
APP0094,Lighthouse Retail Group,Pandas,No Response
APP0095,Ironclad Manufacturing,Machine Learning,Interview
APP0095,Ironclad Manufacturing,Tableau,Interview
APP0095,Ironclad Manufacturing,AWS,Interview
